Ref,Val,Package,PosX,PosY,Rot,Side
"C1","47n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",100.330000,-118.999000,0.000000,top
"C2","47n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",100.330000,-121.920000,0.000000,top
"C3","27n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",95.631000,-134.874000,0.000000,top
"C4","27n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",95.631000,-131.191000,0.000000,top
"C5","75n","C_1206_3216Metric",113.284000,-136.779000,180.000000,top
"C6","75n","C_1206_3216Metric",114.808000,-127.508000,180.000000,top
"C7","13n","C_0805_2012Metric",139.700000,-117.983000,0.000000,top
"C8","13n","C_0805_2012Metric",139.700000,-121.412000,0.000000,top
"C9","6.8n","C_0805_2012Metric",135.382000,-138.557000,0.000000,top
"C10","6.8n","C_0805_2012Metric",135.382000,-133.350000,0.000000,top
"C11","24n","C_0805_2012Metric",152.654000,-136.779000,180.000000,top
"C12","24n","C_0805_2012Metric",154.432000,-127.508000,180.000000,top
"C13","4.7n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",179.070000,-117.983000,0.000000,top
"C14","4.7n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",179.070000,-121.412000,0.000000,top
"C15","3.3n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",175.006000,-138.557000,0.000000,top
"C16","3.3n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",175.006000,-133.350000,0.000000,top
"C17","6.2n","C_0805_2012Metric",192.024000,-136.779000,180.000000,top
"C18","6.2n","C_0805_2012Metric",193.802000,-127.508000,180.000000,top
"C19","1.6n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",218.440000,-117.983000,0.000000,top
"C20","1.6n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",218.440000,-121.412000,0.000000,top
"C21","1n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",214.122000,-138.557000,0.000000,top
"C22","1n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",214.122000,-133.350000,0.000000,top
"C23","3n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",231.140000,-136.779000,180.000000,top
"C24","3n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",233.172000,-127.508000,180.000000,top
"C25","1n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",257.810000,-117.983000,0.000000,top
"C26","1n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",257.810000,-121.412000,0.000000,top
"C27","1n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",253.492000,-138.557000,0.000000,top
"C28","1n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",253.492000,-133.350000,0.000000,top
"C29","1n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",270.510000,-136.652000,180.000000,top
"C30","1n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",272.415000,-127.635000,180.000000,top
"C31","1n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",297.180000,-117.983000,0.000000,top
"C32","1n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",297.180000,-121.412000,0.000000,top
