Designator,Val,Package,MidX,MidY,Rotation,Layer
C1,47n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,100.33,-118.999,0,top
C2,47n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,100.33,-121.92,0,top
C3,27n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,95.631,-134.874,0,top
C4,27n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,95.631,-131.191,0,top
C9,6.8n,C_0805_2012Metric,135.382,-138.557,0,top
C10,6.8n,C_0805_2012Metric,135.382,-133.35,0,top
C13,4.7n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,179.07,-117.983,0,top
C14,4.7n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,179.07,-121.412,0,top
C15,3.3n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,175.006,-138.557,0,top
C16,3.3n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,175.006,-133.35,0,top
C17,6.2n,C_0805_2012Metric,192.024,-136.779,180,top
C18,6.2n,C_0805_2012Metric,193.802,-127.508,180,top
C19,1.6n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,218.44,-117.983,0,top
C20,1.6n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,218.44,-121.412,0,top
C21,1n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,214.122,-138.557,0,top
C22,1n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,214.122,-133.35,0,top
C25,1n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,257.81,-117.983,0,top
C26,1n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,257.81,-121.412,0,top
C27,1n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,253.492,-138.557,0,top
C28,1n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,253.492,-133.35,0,top
C29,1n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,270.51,-136.652,180,top
C30,1n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,272.415,-127.635,180,top
C31,1n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,297.18,-117.983,0,top
C32,1n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,297.18,-121.412,0,top
C33,1n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,292.862,-138.557,0,top
C34,1n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,292.862,-133.35,0,top
C35,1n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,309.88,-136.779,180,top
C36,1n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,311.785,-127.635,180,top
C37,1n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,336.55,-117.983,0,top
C38,1n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,336.55,-121.412,0,top
C39,820p,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,332.232,-138.557,0,top
C40,820p,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,332.232,-133.35,0,top
C41,1n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,349.25,-136.779,180,top
C42,1n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,351.155,-127.635,180,top
C43,100u,C_1206_3216Metric,109.22,-89.916,90,top
C44,100u,C_1206_3216Metric,149.86,-89.916,90,top
C45,10u,C_0805_2012Metric,189.23,-89.408,90,top
C46,10u,C_0805_2012Metric,228.6,-89.408,90,top
C47,1u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,267.97,-88.9,90,top
